gene_id,Gene Name,Gene Length
AAC74177.1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,244
AAC74178.1,acyl carrier protein,78
AAC74179.1,3-oxoacyl-[acyl carrier protein] synthase 2,413
AAC74180.1,aminodeoxychorismate lyase,269
AAC74181.1,endolytic murein transglycosylase,340
AAC74182.1,hypothetical protein b1098,213
AAC74183.1,DNA polymerase III subunit delta',334
AAC74184.1,putative metal-dependent hydrolase YcfH,265
AAC74185.1,glucose-specific PTS enzyme IIBC component,477
AAC74186.1,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,729
AAC74187.1,purine nucleoside phosphoramidase,119
AAC74188.1,DUF1425 domain-containing protein YcfL,125
AAC74189.1,outer membrane lipoprotein - activator of MrcB activity,213
AAC74190.1,thiamine kinase,274
AAC74191.1,beta-N-acetylhexosaminidase,341
AAC74192.2,UPF0227 protein YcfP,180
AAC74193.1,NADH:quinone oxidoreductase II,434
AAC74194.1,PF05433 family protein YcfJ,179
AAC74195.2,DNA-binding transcriptional repressor ComR,210
AAC74196.1,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,85
AAC74197.1,L D-transpeptidase LdtC,320
AAC74198.1,transcription-repair coupling factor,1148
AAC74199.1,inner membrane protein YcfT,357
AAC74200.1,lipoprotein release complex - inner membrane subunit,399
AAC74201.2,lipoprotein release complex - ATP binding subunit,233
AAC74202.1,lipoprotein release complex - inner membrane subunit,414
AAC74203.1,N-acetyl-D-glucosamine kinase,303
AAC74204.3,protein-lysine deacetylase/desuccinylase/lipoamidase,279
AAC74205.1,putative inner membrane protein,262
AAC74206.2,putative inner membrane protein YmfA,153
AAC74207.1,spermidine preferential ABC transporter periplasmic binding protein,348
AAC74208.1,spermidine preferential ABC transporter membrane subunit PotC,264
AAC74209.1,spermidine preferential ABC transporter membrane subunit PotB,275
AAC74210.1,spermidine preferential ABC transporter ATP binding subunit,378
AAC74211.1,peptidase T,408
AAC74212.2,ribosomal protein-arginine oxygenase,373
AAC74213.1,sensor histidine kinase PhoQ,486
AAC74214.1,DNA-binding transcriptional dual regulator PhoP,223
AAC74215.1,adenylosuccinate lyase,456
AAC74216.1,lysogenization regulator,213
AAC74217.2,tRNA-specific 2-thiouridylase,368
AAC74218.1,phosphatase NudJ,153
AAC74219.2,23S rRNA pseudouridine(2457) synthase,217
AAC74220.1,isocitrate dehydrogenase,416
AAC74221.1,e14 prophage; putative SAM-dependent methyltransferase YmfD,221
AAC74222.1,e14 prophage; uncharacterized protein YmfE,234
AAC74223.1,e14 prophage; cell death peptidase Lit,297
AAC74224.1,e14 prophage; putative integrase,375
AAC74225.1,e14 prophage; putative excisionase,81
AAC74227.2,e14 prophage; uncharacterized protein YmfI,113
AAC74228.2,e14 prophage; uncharacterized protein YmfJ,102
AAC74229.1,e14 prophage; putative repressor protein YmfK,224
AAC74230.2,e14 prophage; putative DNA-binding transcriptional regulator YmfT,66
AAC74231.2,e14 prophage; uncharacterized protein YmfL,185
AAC74232.1,e14 prophage; uncharacterized protein YmfM,112
AAC74234.1,e14 prophage; IPR020297 domain-containing protein YmfR,60
AAC74237.1,e14 prophage; DUF2313 domain-containing protein YmfQ,194
AAC74238.1,e14 prophage; protein StfP,209
AAC74239.1,e14 prophage; putative tail fiber assembly protein TfaP,137
AAC74240.1,e14 prophage; putative tail fiber assembly protein TfaE,200
AAC74242.1,e14 prophage; site-specific DNA recombinase,184
AAC74243.1,e14 prophage; 5-methylcytosine-specific restriction enzyme McrA,277
AAC74244.1,anti-adaptor protein IraM  inhibitor of sigma(S) proteolysis,107
AAC74245.1,DUF1398 domain-containing protein YcgX,134
AAC74246.1,DNA-binding transcriptional repressor BluR,243
AAC74247.1,blue light- and temperature-regulated antirepressor BluF,403
AAC74248.1,putative two-component system connector protein YcgZ,78
AAC74249.1,putative two-component system connector protein YmgA,90
AAC74250.1,putative two-component system connector protein AriR,88
AAC74251.1,protein YmgC,82
AAC74252.2,putative c-di-GMP phosphodiesterase PdeG,507
AAC74255.2,PF16456 family protein YmgD,109
AAC74256.5,PF13488 family protein YmgG,114
AAC74258.1,Z-ring positioning protein MinE,88
AAC74259.1,Z-ring positioning protein MinD,270
AAC74260.1,Z-ring positioning protein MinC,231
AAC74261.1,PF05666 family protein YcgJ,122
AAC74262.1,inhibitor of g-type lysozyme,133
AAC74263.3,PF05166 family protein YcgL,108
AAC74264.1,putative isomerase/hydrolase,219
AAC74265.3,PF03693 family protein YcgN,153
AAC74266.2,hemolysin E,303
AAC74267.1,DNA polymerase V protein UmuD,139
AAC74268.1,DNA polymerase V catalytic protein,422
AAC74269.1,protein thiol:quinone oxidoreductase DsbB,176
AAC74270.1,Na(+):H(+) antiporter NhaB,513
AAC74271.1,DNA-binding transcriptional dual regulator FadR,239
AAC74272.1,PF04293 family protein YcgB,510
AAC74273.1,D-amino acid dehydrogenase,432
AAC74274.1,alanine racemase 2,356
AAC74275.2,putative K(+):H(+) antiporter,578
AAC74276.1,murein L D-carboxypeptidase,304
AAC74277.2,lytic murein transglycosylase E,203
AAC74278.1,flagellar brake protein YcgR,244
AAC74279.1,PF04226 family protein YmgE,84
AAC74280.1,uncharacterized protein YcgY,146
AAC74281.1,periplasmic trehalase,565
AAC74282.4,dihydroxyacetone kinase subunit M,472
AAC74283.1,dihydroxyacetone kinase subunit L,210
AAC74284.2,dihydroxyacetone kinase subunit K,356
AAC74285.2,DNA-binding transcriptional dual regulator DhaR,639
AAC74286.1,putative autotransporter adhesin YcgV,955
AAC74287.1,redox-responsive ATPase YchF,363
AAC74288.1,peptidyl-tRNA hydrolase,194
AAC74289.1,stress-induced protein,92
AAC74290.2,aerobic C4-dicarboxylate transporter DauA,559
AAC74291.1,ribose-phosphate diphosphokinase,315
AAC74292.1,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,283
AAC74293.1,outer membrane lipoprotein LolB,207
AAC74294.1,glutamyl-tRNA reductase,418
AAC74295.1,peptide chain release factor RF1,360
AAC74296.1,protein-(glutamine-N(5)) methyltransferase,277
AAC74297.1,SirB family protein YchQ,130
AAC74298.1,transglutaminase-like/TPR repeat-containing protein,269
AAC74299.1,3-deoxy-D-manno-octulosonate 8-phosphate synthase,284
AAC74300.1,Na(+)/K(+):H(+) antiporter ChaA,366
AAC74301.1,putative cation transport regulator ChaB,76
AAC74302.2,glutathione-specific gamma-glutamylcyclotransferase,231
AAC74303.1,DsrE/F sulfur relay family protein YchN,117
AAC74304.2,putative invasin YchO,464
AAC74305.1,DNA-binding transcriptional dual regulator NarL,216
AAC74306.1,sensory histidine kinase NarX,598
AAC74307.1,nitrate:nitrite antiporter NarK,463
AAC74308.1,nitrate reductase A subunit alpha,1247
AAC74309.1,nitrate reductase A subunit beta,512
AAC74310.1,nitrate reductase 1 molybdenum cofactor assembly chaperone,236
AAC74311.1,nitrate reductase A subunit gamma,225
AAC74313.2,protamine-like protein,29
AAC74314.1,formyltetrahydrofolate deformylase,280
AAC74315.1,NTF2-like domain-containing protein YchJ,152
AAC74316.2,putative patatin-like phospholipase RssA,301
AAC74317.1,regulator of RpoS,337
AAC74318.1,UTP--glucose-1-phosphate uridylyltransferase,302
AAC74319.1,DNA-binding transcriptional dual regulator H-NS,137
AAC74320.1,thymidine/deoxyuridine kinase,205
AAC74323.1,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE,891
AAC74324.1,MarC family putative inner membrane protein YchE,215
AAC74325.1,oligopeptide ABC transporter periplasmic binding protein,543
AAC74326.1,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB,306
AAC74327.1,murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC,302
AAC74329.1,murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF,334
AAC74330.2,DUF440 domain-containing protein YciU,109
AAC74331.1,cardiolipin synthase A,486
AAC74332.1,K(+) channel Kch,417
AAC74333.2,protein YciI,98
AAC74334.1,Ton complex subunit TonB,239
AAC74335.1,acyl-CoA thioesterase YciA,132
AAC74336.1,inner membrane protein,179
AAC74337.1,putative inner membrane protein,247
AAC74338.1,outer membrane protein W,212
AAC74339.1,DUF892 domain-containing protein YciE,168
AAC74340.1,DUF892 domain-containing protein YciF,166
AAC74341.2,stress-induced bacterial acidophilic repeat motifs-containing protein YciG,59
AAC74342.1,tryptophan synthase subunit alpha,268
AAC74343.1,tryptophan synthase subunit beta,397
AAC74344.3,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,453
AAC74345.1,anthranilate synthase subunit TrpD,531
AAC74346.1,anthranilate synthase subunit TrpE,520
AAC74347.1,trp operon leader peptide,14
AAC74348.1,RNA/ssDNA 5'-_3' exonuclease,293
AAC74349.2,putative RNA-binding protein YciO,206
AAC74350.1,DUF2207 domain-containing protein YciQ,631
AAC74351.1,23S rRNA pseudouridine(2605) synthase,291
AAC74352.1,cobinamide/cobalamin adenosyltransferase,196
AAC74353.1,putative oxidoreductase,252
AAC74354.1,S49 peptidase family protein,349
AAC74355.1,protein YciN,83
AAC74356.1,DNA topoisomerase 1,865
AAC74357.1,DNA-binding transcriptional dual regulator CysB,324
AAC74358.1,aconitate hydratase 1,891
AAC74359.1,GTP cyclohydrolase 2,196
AAC74360.1,phosphatidylglycerophosphatase B,254
AAC74361.1,lipopolysaccharide assembly protein A,102
AAC74362.1,lipopolysaccharide assembly protein B,389
AAC74363.1,orotidine-5'-phosphate decarboxylase,245
AAC74364.2,putative translation factor,108
AAC74365.1,osmotically-inducible lipoprotein OsmB,72
AAC74366.1,putative DNA-binding transcriptional regulator YciT,249
AAC74367.1,cyclic di-GMP phosphodiesterase PdeR,661
AAC74368.1,RNase II,644
AAC74369.2,putative oxidoreductase,375
AAC74370.1,enoyl-[acyl-carrier-protein] reductase,262
AAC74371.1,DUF559 domain-containing protein YcjD,117
AAC74372.1,putrescine ABC exporter ATP binding protein SapF,268
AAC74373.1,putrescine ABC exporter ATP binding protein SapD,330
AAC74374.1,putrescine ABC exporter membrane protein SapC,296
AAC74375.1,putrescine ABC exporter membrane subunit SapB,321
AAC74376.1,putative periplasmic binding protein SapA,547
AAC74377.1,DUF2543 domain-containing protein YmjA,81
AAC74378.2,putrescine:H(+) symporter PuuP,461
AAC74379.2,glutamate-putrescine ligase,472
AAC74380.2,gamma-glutamyl-gamma-aminobutyrate hydrolase,254
AAC74381.1,DNA-binding transcriptional repressor PuuR,185
AAC74382.1,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase,495
AAC74383.1,gamma-glutamylputrescine oxidase,426
AAC74384.1,4-aminobutyrate aminotransferase PuuE,421
AAC74385.2,DNA-binding transcriptional dual regulator PspF,325
AAC74386.1,phage shock protein A,222
AAC74387.1,phage shock protein B,74
AAC74388.1,phage shock protein C,119
AAC74389.1,phage shock protein D,73
AAC74390.1,thiosulfate sulfurtransferase PspE,104
AAC74391.2,glucosylglycerate phosphorylase,559
AAC74392.1,putative ABC transporter periplasmic binding protein YcjN,430
AAC74393.1,putative ABC transporter membrane subunit YcjO,293
AAC74394.1,putative ABC transporter membrane subunit YcjP,280
AAC74395.1,D-guloside 3-dehydrogenase,350
AAC74396.2,3-dehydro-D-guloside 4-epimerase,262
AAC74397.1,D-glucoside 3-dehydrogenase,351
AAC74398.1,kojibiose phosphorylase,755
AAC74399.1,beta-phosphoglucomutase,219
AAC74401.1,outer membrane porin G,301
AAC74402.1,DNA-binding transcriptional repressor YcjW,332
AAC74403.1,DUF463 domain-containing protein YcjX,465
AAC74404.1,DUF697 domain-containing inner membrane protein YcjF,353
AAC74405.1,DNA-binding transcriptional dual regulator TyrR,513
AAC74406.1,lipid hydroperoxide peroxidase,168
AAC74407.2,L-Ala-D/L-Glu epimerase,321
AAC74408.2,murein tripeptide amidase A,242
AAC74409.2,putative hydrolase YcjY,306
AAC74410.1,DNA-binding transcriptional repressor PgrR,299
AAC74411.2,murein tripeptide ABC transporter periplasmic binding protein,537
AAC74412.1,small conductance mechanosensitive channel YnaI,343
AAC74413.2,IS5 transposase and trans-activator,326
AAC74414.1,DUF2534 domain-containing protein YnaJ,85
AAC74415.1,universal stress protein E,316
AAC74416.1,DNA-binding transcriptional dual regulator FNR,250
AAC74417.1,methylated-DNA--[protein]-cysteine S-methyltransferase,171
AAC74418.2,p-aminobenzoyl glutamate:H(+) symporter,508
AAC74419.1,p-aminobenzoyl-glutamate hydrolase subunit B,481
AAC74420.2,p-aminobenzoyl-glutamate hydrolase subunit A,436
AAC74421.1,putative LysR-type DNA-binding transcriptional regulator AbgR,302
AAC74422.1,DNA endonuclease SmrA,187
AAC74423.2,diguanylate cyclase DgcM,410
AAC74424.1,Zn(2(+)):H(+) symporter,327
AAC74425.1,ATP-dependent RNA helicase DbpA,457
AAC74426.1,tRNA cytosine(32) 2-sulfurtransferase TtcA,311
AAC74427.1,Rac prophage; putative integrase,411
AAC74428.2,Rac prophage; excisionase,71
AAC74429.1,Rac prophage; double-strand break reduction protein,69
AAC74430.1,Rac prophage; endodeoxyribonuclease toxin RalR,64
AAC74431.1,Rac prophage; recombinase RecT,269
AAC74432.1,Rac prophage; exonuclease VIII  ds DNA exonuclease  5' --_ 3' specific,866
AAC74433.1,Rac prophage; protein RacC,91
AAC74434.2,Rac prophage; inhibitor of FtsZ,73
AAC74435.2,Rac prophage; phage superinfection exclusion protein,162
AAC74436.2,Rac prophage; DUF1391 domain-containing protein YdaF,51
AAC74437.2,Rac prophage; uncharacterized protein YdaG,44
AAC74438.1,Rac prophage; DNA-binding transcriptional repressor RacR,158
AAC74439.1,Rac prophage; toxin YdaS,98
AAC74440.1,Rac prophage; protein YdaT,140
AAC74441.1,Rac prophage; DUF1376 domain-containing protein YdaU,285
AAC74442.1,Rac prophage; putative ATP-binding protein YdaV,248
AAC74445.1,Rac prophage; K(+) transporter TrkG,485
AAC74447.1,Rac prophage; ParB-like nuclease domain-containing protein YnaK,87
AAC74452.1,Rac prophage; IS5 transposase and trans-activator,326
AAC74454.2,Rac prophage; putative prophage side tail fiber protein StfR,1120
AAC74455.1,Rac prophage; putative tail fiber assembly protein TfaR,191
AAC74456.1,Rac prophage; putative site-specific recombinase,196
AAC74457.2,Rac prophage; uncharacterized protein YnaE,77
AAC74458.2,nucleotide binding filament protein,144
AAC74459.1,outer membrane porin N,377
AAC74460.1,putative pyruvate-flavodoxin oxidoreductase,1174
AAC74461.1,lipoprotein implicated in Novobiocin resistance,140
AAC74462.1,D-lactate dehydrogenase,329
AAC74463.1,PF11739 family protein YdbH,879
AAC74464.1,lipoprotein YnbE,61
AAC74465.2,DUF1318 domain-containing protein YdbL,108
AAC74466.1,DNA-binding transcriptional activator FeaR,301
AAC74467.2,phenylacetaldehyde dehydrogenase,499
AAC74468.1,copper-containing amine oxidase,757
AAC74469.1,fused 3-oxo-5 6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase,681
AAC74470.1,phenylacetyl-CoA 1 2-epoxidase  monooxygenase subunit,309
AAC74471.1,phenylacetyl-CoA 1 2-epoxidase subunit B,95
AAC74472.1,phenylacetyl-CoA 1 2-epoxidase  structural subunit,248
AAC74473.4,phenylacetate degradation protein,165
AAC74474.1,phenylacetyl-CoA 1 2-epoxidase  reductase subunit,356
AAC74475.1,putative 2 3-dehydroadipyl-CoA hydratase,255
AAC74476.1,putative ring 1 2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming),262
AAC74477.1,3-hydroxyadipyl-CoA dehydrogenase,475
AAC74478.1,phenylacetyl-CoA thioesterase,140
AAC74479.1,beta-ketoadipyl-CoA thiolase,401
AAC74480.1,phenylacetate-CoA ligase,437
AAC74481.1,DNA-binding transcriptional repressor PaaX,316
AAC74482.1,2-hydroxycyclohepta-1 4 6-triene-1-carboxyl-CoA thioesterase,196
AAC74484.1,IS2 insertion element protein InsB,301
AAC74485.2,IS2 insertion element repressor InsA,121
AAC74486.1,IS30 transposase,383
AAC74488.1,pyridoxine 4-dehydrogenase,286
AAC74489.2,DUF2773 domain-containing protein YdbD,768
AAC74490.2,CDP-alcohol phosphatidyltransferase domain-containing protein YnbA,201
AAC74491.1,putative CDP-diglyceride synthase,298
AAC74492.1,hydrolase/methyltransferase domain-containing protein YnbC,585
AAC74493.1,phosphatase domain-containing protein YnbD,430
AAC74494.1,FMN dependent NADH:quinone oxidoreductase,201
AAC74495.2,ATP-dependent RNA helicase HrpA,1300
AAC74496.1,DUF218 domain-containing protein YdcF,266
AAC74497.1,aldehyde dehydrogenase A,479
AAC74500.2,superoxide oxidase,176
AAC74501.1,protein YdcA,57
AAC74502.1,putative regulatory protein MokB,55
AAC74503.1,methyl-accepting chemotaxis protein Trg,546
AAC74504.2,DNA-binding transcriptional dual regulator YdcI,307
AAC74505.1,DUF1338 domain-containing protein YdcJ,447
AAC74506.3,glucan biosynthesis protein D,551
AAC74508.2,protein YdcH,74
AAC74509.1,ribosomal-protein-L12-serine N-acetyltransferase,179
AAC74510.1,putative enzyme YdcK,326
AAC74511.1,tellurite resistance protein,330
AAC74512.1,tellurite methyltransferase,197
AAC74513.1,DUF3313 domain-containing lipoprotein YdcL,222
AAC74514.2,putative insertion element transposase InsQ,382
AAC74515.2,putative transport protein YdcO,391
AAC74516.1,DNA-binding transcriptional dual regulator SutR,178
AAC74517.2,23S rRNA 5-hydroxycytidine C2501 synthase,653
AAC74518.1,protein YncJ,76
AAC74519.2,toxin of the HicA-HicB toxin-antitoxin system,58
AAC74520.2,antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB,138
AAC74521.1,fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR,468
AAC74522.1,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,381
AAC74523.1,putative ABC transporter ATP-binding protein YdcT,337
AAC74524.1,putative ABC transporter membrane subunit YdcU,313
AAC74525.1,putative ABC transporter membrane subunit YdcV,264
AAC74526.1,gamma-aminobutyraldehyde dehydrogenase,474
AAC74527.2,orphan toxin OrtT,57
AAC74528.1,DUF2526 domain-containing protein YdcY,77
AAC74529.1,putative inner membrane protein YdcZ,149
AAC74530.1,L-amino acid N-acyltransferase,172
AAC74531.4,NADPH-dependent curcumin/dihydrocurcumin reductase,345
AAC74532.2,DNA-binding transcriptional dual regulator McbR,221
AAC74533.1,putative TonB-dependent outer membrane receptor,700
AAC74534.1,PQQ-like domain-containing protein YncE,353
AAC74535.2,L-asparagine transporter,499
AAC74536.1,putative glutathione S-transferase YncG,205
AAC74537.1,DUF5445 domain-containing protein YncH,70
AAC74539.1,uncharacterized protein YdcD,160
AAC74542.1,H repeat-associated putative transposase YdcC,378
AAC74543.1,tautomerase PptA,77
AAC74544.2,flavin reductase-like protein YddH,189
AAC74545.1,arylamine N-acetyltransferase,281
AAC74546.1,PF02567 family protein YddE,297
AAC74547.1,nitrate reductase Z subunit gamma,226
AAC74548.1,NarW  putative private chaperone for NarZ nitrate reductase subunit,231
AAC74549.1,nitrate reductase Z subunit beta,514
AAC74550.1,nitrate reductase Z subunit alpha,1246
AAC74551.2,ethanol dehydrogenase/alcohol dehydrogenase,336
AAC74552.2,NAD(+)-dependent malate dehydrogenase,565
AAC74553.1,30S ribosomal subunit protein S22,45
AAC74554.2,biofilm-dependent modulation protein,71
AAC74555.1,osmotically inducible peroxiredoxin OsmC,143
AAC74556.1,putative D D-dipeptide ABC transporter ATP-binding subunit DdpF,308
AAC74557.1,putative D D-dipeptide ABC transporter ATP-binding subunit DdpD,328
AAC74558.1,putative D D-dipeptide ABC transporter membrane subunit DdpC,298
AAC74559.1,putative D D-dipeptide ABC transporter membrane subunit DdpB,340
AAC74560.1,putative D D-dipeptide ABC transporter periplasmic binding protein,516
AAC74561.1,D-alanyl-D-alanine dipeptidase,193
AAC74562.2,oxygen-sensing c-di-GMP phosphodiesterase DosP,799
AAC74563.3,diguanylate cyclase DosC,460
AAC74564.1,divisome localized glycosyl hydrolase,439
AAC74565.1,L-glutamate:4-aminobutyrate antiporter,511
AAC74566.1,glutamate decarboxylase B,466
AAC74567.1,periplasmic metalloprotease,931
AAC74568.1,putative TonB-dependent receptor YddB,790
AAC74569.1,ABC transporter family protein YddA,561
AAC74570.2,putative anaerobic sulfatase maturation enzyme YdeM,385
AAC74571.2,putative sulfatase YdeN,560
AAC74572.1,DNA-binding transcriptional dual regulator YdeO,253
AAC74573.1,two-component system connector SafA,65
AAC74574.1,putative oxidoreductase YdeP,759
AAC74575.1,putative fimbrial adhesin protein YdeQ,304
AAC74576.1,putative fimbrial protein YdeR,167
AAC74577.1,putative fimbrial protein YdeS,176
AAC74580.1,serine/threonine-protein kinase toxin HipA,440
AAC74581.1,antitoxin/DNA-binding transcriptional repressor HipB,88
AAC74584.1,autoinducer-2 kinase,530
AAC74585.1,DNA-binding transcriptional repressor LsrR,317
AAC74586.1,Autoinducer-2 ABC transporter ATP binding subunit,511
AAC74587.1,Autoinducer-2 ABC transporter membrane subunit LsrC,342
AAC74588.1,Autoinducer-2 ABC transporter membrane subunit LsrD,330
AAC74589.1,Autoinducer-2 ABC transporter periplasmic binding protein,340
AAC74590.1,3-hydroxy-2 4-pentadione 5-phosphate thiolase,291
AAC74591.1,(4S)-4-hydroxy-5-phosphonooxypentane-2 3-dione isomerase,96
AAC74592.1,trans-aconitate 2-methyltransferase,252
AAC74593.2,PF01062 family inner membrane protein YneE,304
AAC74595.1,putative diguanylate cyclase DgcF,315
AAC74596.1,DUF4186 domain-containing protein YneG,119
AAC74597.1,glutaminase 2,308
AAC74598.2,succinate semialdehyde dehydrogenase (NAD(P)(+)) Sad,462
AAC74599.1,putative LysR-type DNA-binding transcriptional regulator YneJ,293
AAC74600.1,protein YneK,371
AAC74601.1,L-arabinose exporter,396
AAC74602.1,inner membrane protein MarC,221
AAC74603.2,DNA-binding transcriptional repressor MarR,144
AAC74604.2,DNA-binding transcriptional dual regulator MarA,127
AAC74605.1,multiple antibiotic resistance protein MarB,72
AAC74606.2,cysteine/O-acetylserine exporter EamA,299
AAC74607.1,dipeptide exporter,395
AAC74608.1,diguanylate cyclase DgcZ,296
AAC74609.1,BOF family protein YdeI,130
AAC74610.1,PF02464 family protein YdeJ,172
AAC74611.1,peptidyl-dipeptidase Dcp,681
AAC74612.1,3-hydroxy acid dehydrogenase YdfG,248
AAC74613.1,DNA-binding transcriptional repressor YdfH,228
AAC74614.1,putative selenoprotein YdfZ,67
AAC74615.1,putative oxidoreductase YdfI,486
AAC74617.2,Qin prophage; cold shock protein YdfK,77
AAC74618.1,Qin prophage; putative recombinase PinQ,196
AAC74619.1,Qin prophage; putative tail fiber assembly protein TfaQ,191
AAC74620.1,Qin prophage; putative prophage side tail fiber protein StfQ,320
AAC74622.2,Qin prophage; DUF1398 domain-containing protein YdfO,136
AAC74623.2,Qin prophage; protein GnsB,57
AAC74624.2,Qin prophage; protein YnfN,51
AAC74625.1,Qin prophage; cold shock-like protein CspI,70
AAC74626.1,Qin prophage; DUF2514 domain-containing protein RzpQ,165
AAC74627.1,Qin prophage; putative lysozyme,177
AAC74628.1,Qin prophage; protein YdfR,103
AAC74629.2,Qin prophage; putative prophage lysis protein EssQ,71
AAC74630.1,Qin prophage; cold shock-like protein CspB,71
AAC74631.1,Qin prophage; cold shock protein CspF,70
AAC74632.2,Qin prophage; putative antitermination protein Q,250
AAC74633.4,Qin prophage; protein YdfU,349
AAC74634.1,Qin prophage; protein Rem,83
AAC74635.1,Qin prophage; toxic protein HokD,51
AAC74636.1,Qin prophage; mRNA interferase toxin RelE,95
AAC74637.1,Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB,79
AAC74638.1,Qin prophage; protein YdfV,101
AAC74639.1,Qin prophage; protein FlxA,110
AAC74642.1,Qin prophage; DNA-binding transcriptional regulator for DicB,76
AAC74643.1,DNA-binding transcriptional dual regulator DicA,135
AAC74644.1,Qin prophage; DUF1391 domain-containing protein YdfA,51
AAC74645.2,Qin prophage; uncharacterized protein YdfB,42
AAC74646.1,Qin prophage; uncharacterized protein YdfC,72
AAC74647.1,Qin prophage; cell division inhibition protein DicB,62
AAC74648.1,Qin prophage; lysis protein,63
AAC74652.1,putative zinc-binding dehydrogenase RspB,339
AAC74653.1,mandelate racemase/muconate lactonizing enzyme family protein RspA,404
AAC74654.1,putative transporter YnfA,108
AAC74655.1,DUF1283 domain-containing protein YnfB,113
AAC74656.1,spermidine N-acetyltransferase,186
AAC74657.2,UPF0257 family lipoprotein YnfC,236
AAC74658.2,DUF1161 domain-containing protein YnfD,101
AAC74659.1,putative selenate reductase YnfE,808
AAC74660.4,putative selenate reductase YnfF,807
AAC74661.1,putative oxidoreductase YnfG,205
AAC74662.1,putative menaquinol dehydrogenase,284
AAC74663.2,redox enzyme maturation protein DmsD,204
AAC74664.2,putative chloride:H(+) antiporter ClcB,418
AAC74665.2,putative dethiobiotin synthetase,231
AAC74666.1,DNA-binding transcriptional repressor Mlc,406
AAC74667.1,putative DNA-binding transcriptional regulator,297
AAC74668.1,putative transporter YnfM,417
AAC74669.2,acid shock protein,102
AAC74670.1,putative serine protease YdgD,273
AAC74671.1,multidrug/spermidine efflux pump membrane subunit MdtI,109
AAC74672.1,multidrug/spermidine efflux pump membrane subunit MdtJ,121
AAC74673.1,autoinducer 2 exporter,344
AAC74674.1,pyridine nucleotide transhydrogenase subunit beta,462
AAC74675.1,pyridine nucleotide transhydrogenase subunit alpha,510
AAC74676.1,DUF1471 domain-containing protein YdgH,314
AAC74677.1,putative arginine:ornithine antiporter,460
AAC74678.1,dihydromonapterin reductase,240
AAC74679.1,GlpM family protein,111
AAC74680.2,DNA-binding transcriptional regulator RstA,239
AAC74681.1,sensory histidine kinase RstB,433
AAC74682.1,DNA replication terminus site-binding protein,309
AAC74683.1,fumarase C,467
AAC74684.1,fumarase A,548
AAC74685.1,mannose-6-phosphate isomerase,391
AAC74686.1,DUF945 domain-containing protein YdgA,502
AAC74687.2,outer membrane porin family protein UidC,421
AAC74688.1,glucuronide:H(+) symporter,457
AAC74689.1,beta-glucuronidase,603
AAC74690.1,DNA-binding transcriptional repressor UidR,196
AAC74691.1,7-alpha-hydroxysteroid dehydrogenase,255
AAC74692.1,DNA-binding transcriptional repressor MalI,342
AAC74693.1,PTS enzyme IIBC component MalX,530
AAC74694.1,negative regulator of MalT activity/cystathionine beta-lyase,390
AAC74695.1,adenosine deaminase,333
AAC74696.2,putative oxidoreductase YdgJ,346
AAC74697.1,H-NS- and StpA-binding protein,71
AAC74698.2,DUF2569 domain-containing inner membrane protein YdgK,146
AAC74699.1,SoxR [2Fe-2S] reducing system protein RsxA,193
AAC74700.1,SoxR [2Fe-2S] reducing system protein RsxB,192
AAC74701.1,SoxR [2Fe-2S] reducing system protein RsxC,740
AAC74702.1,SoxR [2Fe-2S] reducing system protein RsxD,352
AAC74703.1,SoxR [2Fe-2S] reducing system protein RsxG,206
AAC74704.1,SoxR [2Fe-2S] reducing system protein RsxE,231
AAC74705.1,endonuclease III,211
AAC74706.1,dipeptide/tripeptide:H(+) symporter DtpA,500
AAC74707.1,glutathione S-transferase GstA,201
AAC74708.1,pyridoxal kinase 2,287
AAC74709.1,tyrosine--tRNA ligase,424
AAC74710.1,pyridoxine/pyridoxamine 5'-phosphate oxidase,218
AAC74711.2,inhibitor of c-type lysozyme  putative lipoprotein,109
AAC74712.1,anhydro-N-acetylmuramic acid kinase,369
AAC74714.2,DNA-binding transcriptional dual regulator SlyA,144
AAC74715.1,DUF1656 domain-containing protein YdhI,78
AAC74716.2,putative membrane fusion protein YdhJ,285
AAC74717.1,putative transporter YdhK,670
AAC74718.1,superoxide dismutase (Cu-Zn),173
AAC74720.2,DUF1289 domain-containing protein YdhL,79
